179,기타,바티칸,4,0
180,기타,마르티니크,66,1
181,기타,프랑스령 기아나,28,0
182,기타,패로제도,140,0
183,기타,건지섬,34,0
184,기타,프랑스령 폴리네시아,30,0
185,기타,저지섬,32,1
186,기타,프랑스령 레위니옹,135,0
187,기타,과들루프,76,0
188,기타,케이맨제도,8,1
189,기타,퀴라소,7,1
190,기타,마요트,50,0
191,기타,푸에르토리코,64,2
192,기타,괌,45,1
193,기타,미국령 버진아일랜드,17,0
194,기타,아루바,19,0
195,기타,버뮤다,7,0
196,기타,신트마르틴,2,0
197,기타,몬트세라트,2,0
198,기타,뉴칼레도니아,14,0
199,기타,그린랜드,6,0
200,기타,맨섬,26,0
201,기타,터크스 케이커스 제도,2,0
202,기타,앵귈라,2,0
203,기타,영국령 버진아일랜드,2,0
204,합계,합계,567766,26288
